Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Acronym,acronym-2,...,,https://www.hackerearth.com/problem/algorithm/acronym-2/,Hackerearth,                    ,,
Sumit And Rohil,sumit-and-rohil,...,,https://www.hackerearth.com/problem/algorithm/sumit-and-rohil/,Hackerearth,                    ,,
Shortest Way,shortest-way,...,,https://www.hackerearth.com/problem/algorithm/shortest-way/,Hackerearth,                    ,,
Minimum Class,minimum-class,...,,https://www.hackerearth.com/problem/algorithm/minimum-class/,Hackerearth,                    ,,
When the Integers got upset!,when-the-integers-got-upset,...,,https://www.hackerearth.com/problem/algorithm/when-the-integers-got-upset/,Hackerearth,                    ,,
Monk in the Magical Land,monk-in-the-magical-land,...,,https://www.hackerearth.com/problem/algorithm/monk-in-the-magical-land/,Hackerearth,                    Bitmask,,
Monk and his Friend,monk-and-his-friend,...,,https://www.hackerearth.com/problem/algorithm/monk-and-his-friend/,Hackerearth,"                    Bit manipulation, Easy",,
Monk's Choice of Numbers,monks-choice-of-numbers-1,...,,https://www.hackerearth.com/problem/algorithm/monks-choice-of-numbers-1/,Hackerearth,                    ,,
Samu and Special Coprime ...,samu-and-special-coprime-numbers,...,,https://www.hackerearth.com/problem/algorithm/samu-and-special-coprime-numbers/,Hackerearth,                    ,,
Samu and Shooting Game,samu-and-shooting-game,...,,https://www.hackerearth.com/problem/algorithm/samu-and-shooting-game/,Hackerearth,                    ,,
Vibhu and his Mathematics,vibhu-and-his-mathematics,...,,https://www.hackerearth.com/problem/algorithm/vibhu-and-his-mathematics/,Hackerearth,                    ,,
Samu and Shopping,samu-and-shopping,...,,https://www.hackerearth.com/problem/algorithm/samu-and-shopping/,Hackerearth,"                    Dynamic Programming, Easy",,
Rasta as the Mayor,rasta-as-the-mayor-2,...,,https://www.hackerearth.com/problem/approximate/rasta-as-the-mayor-2/,Hackerearth,                    ,,
Rasta and The Matrix,rasta-and-the-matrix,...,,https://www.hackerearth.com/problem/algorithm/rasta-and-the-matrix/,Hackerearth,                    ,,
Rasta in Tavaspolis,rasta-in-tavaspolis,...,,https://www.hackerearth.com/problem/algorithm/rasta-in-tavaspolis/,Hackerearth,                    ,,
Rasta and Kheshtak,rasta-and-kheshtak,...,,https://www.hackerearth.com/problem/algorithm/rasta-and-kheshtak/,Hackerearth,                    ,,
Rasta and Darie,rasta-and-darie,...,,https://www.hackerearth.com/problem/algorithm/rasta-and-darie/,Hackerearth,                    ,,
Rasta and Tavas,rasta-and-tavas,...,,https://www.hackerearth.com/problem/algorithm/rasta-and-tavas/,Hackerearth,                    ,,
Absolute Difference,absolute-difference-2,...,,https://www.hackerearth.com/problem/algorithm/absolute-difference-2/,Hackerearth,"                    Easy, Basic Programming",,
Encoded Strings,encoded-strings-3,...,,https://www.hackerearth.com/problem/algorithm/encoded-strings-3/,Hackerearth,"                    Easy, Ad-Hoc, Basic Programming",,
All Vowels,all-vowels-2,...,,https://www.hackerearth.com/problem/algorithm/all-vowels-2/,Hackerearth,                    ,,
Fun at Cake Shop ,fun-at-cake-shop-pledge-easy-1,...,,https://www.hackerearth.com/problem/algorithm/fun-at-cake-shop-pledge-easy-1/,Hackerearth,                    ,,
In search of Samosa ,in-search-of-samosa-pledge-easy-3,...,,https://www.hackerearth.com/problem/algorithm/in-search-of-samosa-pledge-easy-3/,Hackerearth,"                    Easy, Sorting",,
Tournament,tournament-easy,...,,https://www.hackerearth.com/problem/algorithm/tournament-easy/,Hackerearth,                    ,,
Laptop ,laptop-easy,...,,https://www.hackerearth.com/problem/algorithm/laptop-easy/,Hackerearth,                    ,,
Paint Wall,paint-wall-easy,...,,https://www.hackerearth.com/problem/algorithm/paint-wall-easy/,Hackerearth,                    ,,
Unique Maximum Number ,unique-maximum-number-easy,...,,https://www.hackerearth.com/problem/algorithm/unique-maximum-number-easy/,Hackerearth,                    ,,
AP or Not ,ap-or-not-easy,...,,https://www.hackerearth.com/problem/algorithm/ap-or-not-easy/,Hackerearth,                    Easy,,
Find Pair,find-pair-easy,...,,https://www.hackerearth.com/problem/algorithm/find-pair-easy/,Hackerearth,                    ,,
War,warcakewalk,...,,https://www.hackerearth.com/problem/algorithm/warcakewalk/,Hackerearth,                    Easy,,
Final Destination,final-destination-cakewalk,...,,https://www.hackerearth.com/problem/algorithm/final-destination-cakewalk/,Hackerearth,                    ,,
Bob and String ,bob-and-string-easy,...,,https://www.hackerearth.com/problem/algorithm/bob-and-string-easy/,Hackerearth,                    ,,
Bob and Bombs,bob-and-bombs-cake-walk,...,,https://www.hackerearth.com/problem/algorithm/bob-and-bombs-cake-walk/,Hackerearth,                    ,,
Little Jhool and his addi...,little-jhool-and-his-addiction-2-4,...,,https://www.hackerearth.com/problem/algorithm/little-jhool-and-his-addiction-2-4/,Hackerearth,"                    Greedy, Sorting, Easy-Medium",,
The legend of Tanmay,the-legend-of-tanmay,...,,https://www.hackerearth.com/problem/algorithm/the-legend-of-tanmay/,Hackerearth,"                    Easy-Medium, Ad-Hoc, Greedy",,
Arjit and Apex,arjit-and-apex,...,,https://www.hackerearth.com/problem/algorithm/arjit-and-apex/,Hackerearth,"                    Easy-Medium, Greedy",,
Arjit and Printing Press,arjit-and-printing-press,...,,https://www.hackerearth.com/problem/algorithm/arjit-and-printing-press/,Hackerearth,"                    Greedy, Easy, Basic Programming",,
Shil and Survival Game,shil-and-survival-game,...,,https://www.hackerearth.com/problem/algorithm/shil-and-survival-game/,Hackerearth,                    ,,
"Shil, Aditya and Utkarsh",shil-aditya-and-utkarsh,...,,https://www.hackerearth.com/problem/algorithm/shil-aditya-and-utkarsh/,Hackerearth,                    ,,
Shil and Beautiful Matrix,shil-and-beautiful-matrix,...,,https://www.hackerearth.com/problem/algorithm/shil-and-beautiful-matrix/,Hackerearth,                    ,,
Shil and hiking,shil-and-hiking,...,,https://www.hackerearth.com/problem/algorithm/shil-and-hiking/,Hackerearth,                    ,,
Shil and Lucky String,shil-and-lucky-string-1,...,,https://www.hackerearth.com/problem/algorithm/shil-and-lucky-string-1/,Hackerearth,                    ,,
Shil and Crazy Operation,shil-and-crazy-operation,...,,https://www.hackerearth.com/problem/algorithm/shil-and-crazy-operation/,Hackerearth,                    ,,
3 types,3-types,...,,https://www.hackerearth.com/problem/algorithm/3-types/,Hackerearth,                    ,,
Quantitative coefficient,quantitative-coefficient,...,,https://www.hackerearth.com/problem/algorithm/quantitative-coefficient/,Hackerearth,                    ,,
Maximum Spanning Tree,maximum-spanning-tree,...,,https://www.hackerearth.com/problem/algorithm/maximum-spanning-tree/,Hackerearth,                    ,,
Check it,check-it,...,,https://www.hackerearth.com/problem/algorithm/check-it/,Hackerearth,                    ,,
Samu and her Birthday Party,samu-and-her-birthday-party-1,...,,https://www.hackerearth.com/problem/algorithm/samu-and-her-birthday-party-1/,Hackerearth,                    ,,
Palin Pairs,palin-pairs,...,,https://www.hackerearth.com/problem/algorithm/palin-pairs/,Hackerearth,                    ,,
Trace of a matrix,trace-of-a-matrix-36,...,,https://www.hackerearth.com/problem/algorithm/trace-of-a-matrix-36/,Hackerearth,                    ,,
Counter Strike,counter-strike-12,...,,https://www.hackerearth.com/problem/algorithm/counter-strike-12/,Hackerearth,                    ,,
Oz and his game-board,oz-and-his-game-board-1,...,,https://www.hackerearth.com/problem/algorithm/oz-and-his-game-board-1/,Hackerearth,                    ,,
Monk And IQ,monk-and-iq,...,,https://www.hackerearth.com/problem/algorithm/monk-and-iq/,Hackerearth,                    ,,
Monk And Champions League ,monk-and-champions-league,...,,https://www.hackerearth.com/problem/algorithm/monk-and-champions-league/,Hackerearth,                    ,,
Monk And Some Queries,monk-and-some-queries,...,,https://www.hackerearth.com/problem/algorithm/monk-and-some-queries/,Hackerearth,                    ,,
Monk and Multiplication,monk-and-multiplication,...,,https://www.hackerearth.com/problem/algorithm/monk-and-multiplication/,Hackerearth,                    ,,
TORonto,toronto,...,,https://www.hackerearth.com/problem/approximate/toronto/,Hackerearth,                    ,,
